player_id,saison,goals,assists
45858,2018,1.0,1.0
45858,2024,3.0,1.0
46001,2011,2.0,3.0
46001,2015,1.0,8.0
46001,2020,1.0,1.0
46001,2021,2.0,1.0
46001,2024,0.0,0.0
46062,2024,0.0,0.0
46083,2024,6.0,0.0
46104,2007,16.0,10.0
46104,2012,13.0,5.0
46104,2015,7.0,4.0
46104,2016,7.0,5.0
46104,2024,4.0,2.0
46106,2010,24.0,5.0
46106,2013,15.0,2.0
46106,2024,5.0,2.0
46180,2006,0.0,0.0
46180,2007,8.0,4.0
46180,2009,12.0,8.0
46180,2024,0.0,4.0
46413,2009,,
46413,2013,14.0,5.0
46413,2015,17.0,4.0
46413,2017,7.0,0.0
46413,2018,9.0,3.0
46413,2020,12.0,0.0
46413,2024,18.0,2.0
46504,2024,4.0,3.0
46580,2012,15.0,8.0
46580,2013,30.0,4.0
46580,2015,6.0,4.0
46580,2024,17.0,6.0
47587,2024,0.0,0.0
47713,2024,0.0,0.0
48002,2024,0.0,0.0
48015,2024,0.0,0.0
48067,2024,4.0,4.0
48119,2008,4.0,0.0
48119,2017,8.0,4.0
48119,2018,15.0,8.0
48119,2024,1.0,1.0
48634,2024,0.0,0.0
48805,2012,10.0,2.0
48805,2016,4.0,2.0
48805,2024,0.0,0.0
48859,2024,0.0,1.0
48870,2024,0.0,0.0
49016,2024,0.0,0.0
49676,2024,4.0,2.0
49723,2024,0.0,1.0
50219,2024,0.0,0.0
50355,2017,14.0,6.0
50355,2020,11.0,4.0
50355,2024,6.0,5.0
50655,2024,2.0,3.0
51152,2012,15.0,4.0
51152,2014,28.0,5.0
51152,2017,14.0,1.0
51152,2022,15.0,3.0
51152,2024,0.0,0.0
51161,2024,0.0,0.0
51174,2013,1.0,2.0
51174,2016,0.0,0.0
51174,2018,2.0,4.0
51174,2022,0.0,1.0
51174,2024,0.0,0.0
51274,2024,0.0,0.0
51471,2011,5.0,7.0
51471,2014,8.0,5.0
51471,2018,0.0,2.0
51471,2022,2.0,2.0
51471,2024,3.0,1.0
51733,2024,2.0,1.0
51736,2024,0.0,0.0
51894,2024,0.0,0.0
51977,2024,0.0,0.0
52059,2024,1.0,0.0
52119,2024,1.0,1.0
52261,2024,0.0,0.0
52281,2024,1.0,3.0
52380,2016,11.0,24.0
52380,2024,1.0,0.0
52403,2024,0.0,0.0
52477,2024,0.0,1.0
52480,2016,1.0,3.0
52480,2024,1.0,2.0
52495,2024,0.0,0.0
52570,2024,0.0,0.0
52769,2006,2.0,2.0
52769,2011,6.0,17.0
52769,2012,8.0,14.0
52769,2024,5.0,2.0
53077,2024,1.0,1.0
53286,2008,2.0,1.0
53286,2024,0.0,0.0
53350,2024,0.0,0.0
53360,2011,21.0,6.0
53360,2016,6.0,3.0
53360,2018,22.0,6.0
53360,2024,2.0,1.0
53418,2011,2.0,7.0
53418,2013,14.0,27.0
53418,2014,11.0,19.0
53418,2016,2.0,4.0
53418,2024,1.0,2.0
53455,2010,2.0,2.0
53455,2024,0.0,0.0
53622,2007,14.0,0.0
53622,2010,5.0,2.0
53622,2015,3.0,7.0
53622,2024,5.0,14.0
53696,2024,0.0,0.0
54177,2024,0.0,0.0
54217,2024,0.0,0.0
54235,2024,3.0,0.0
54265,2024,1.0,0.0
54383,2024,0.0,0.0
54534,2024,0.0,0.0
54716,2024,1.0,0.0
54781,2024,3.0,2.0
54846,2024,0.0,2.0
54906,2024,2.0,2.0
55000,2024,0.0,0.0
55089,2024,0.0,1.0
55099,2024,1.0,2.0
55356,2010,10.0,4.0
55356,2012,2.0,12.0
55356,2019,6.0,7.0
55356,2024,3.0,1.0
55369,2024,0.0,0.0
55439,2024,0.0,0.0
55508,2008,8.0,10.0
55508,2011,9.0,5.0
55508,2014,0.0,2.0
55524,2024,1.0,0.0
55605,2024,0.0,1.0
55619,2007,10.0,7.0
55619,2009,5.0,5.0
55619,2011,6.0,8.0
55619,2014,6.0,7.0
55619,2017,3.0,3.0
55619,2024,4.0,7.0
55687,2024,0.0,2.0
55735,2008,0.0,0.0
55735,2009,25.0,10.0
55735,2012,29.0,12.0
55735,2015,23.0,32.0
55735,2016,11.0,5.0
55735,2024,2.0,11.0
55742,2009,0.0,0.0
55742,2019,3.0,1.0
55769,2024,1.0,0.0
55994,2024,0.0,0.0
56036,2024,0.0,0.0
56100,2024,0.0,0.0
56331,2009,16.0,5.0
56331,2011,38.0,9.0
56331,2015,10.0,2.0
56331,2018,23.0,2.0
56331,2019,10.0,2.0
56331,2024,3.0,2.0
56354,2024,1.0,0.0
56416,2008,14.0,8.0
56416,2010,14.0,24.0
56416,2012,18.0,21.0
56416,2024,12.0,19.0
56490,2012,22.0,8.0
56490,2014,5.0,1.0
56523,2014,17.0,3.0
56523,2024,8.0,0.0
56631,2024,0.0,0.0
56809,2024,0.0,0.0
56810,2016,6.0,4.0
56810,2024,0.0,0.0
56818,2007,0.0,0.0
56818,2014,5.0,1.0
56818,2015,1.0,1.0
56818,2019,0.0,1.0
56818,2024,0.0,0.0
56831,2024,2.0,2.0
56836,2024,0.0,6.0
57071,2024,0.0,0.0
57162,2016,4.0,3.0
57162,2024,2.0,1.0
57216,2024,2.0,0.0
57280,2013,5.0,4.0
57280,2024,8.0,3.0
57303,2024,0.0,0.0
57328,2024,0.0,0.0
57500,2024,0.0,2.0
57534,2024,0.0,0.0
57598,2014,1.0,3.0
57598,2024,0.0,0.0
57723,2024,2.0,0.0
57796,2024,0.0,0.0
57895,2007,4.0,2.0
57895,2010,13.0,5.0
57895,2024,3.0,1.0
58072,2024,0.0,2.0
58088,2024,0.0,0.0
58150,2024,0.0,0.0
58267,2013,3.0,4.0
58267,2024,2.0,1.0
58330,2024,0.0,0.0
58358,2024,7.0,12.0
58396,2024,0.0,1.0
58402,2024,1.0,0.0
58418,2024,3.0,3.0
58429,2024,0.0,0.0
58489,2024,0.0,1.0
58855,2024,1.0,3.0
58864,2010,5.0,3.0
58864,2012,21.0,11.0
58864,2016,40.0,5.0
58864,2021,20.0,3.0
58864,2023,30.0,11.0
58864,2024,29.0,11.0
58884,2024,0.0,1.0
58930,2024,0.0,0.0
58965,2024,0.0,1.0
58971,2024,0.0,0.0
58993,2011,7.0,6.0
58993,2024,0.0,3.0
58995,2024,1.0,0.0
59016,2024,0.0,2.0
59047,2024,2.0,1.0
59082,2024,0.0,0.0
59084,2024,0.0,1.0
59136,2024,0.0,2.0
59145,2024,1.0,2.0
59209,2024,0.0,0.0
59248,2024,0.0,0.0
59290,2024,0.0,3.0
59322,2024,3.0,3.0
59323,2011,,
59323,2014,15.0,0.0
59323,2016,5.0,0.0
59323,2024,14.0,3.0
59337,2024,0.0,0.0
59349,2024,0.0,0.0
59352,2024,3.0,0.0
59442,2024,0.0,0.0
59446,2024,0.0,0.0
59543,2009,16.0,0.0
59543,2024,1.0,1.0
59561,2008,0.0,2.0
59561,2010,4.0,6.0
59561,2019,10.0,6.0
59561,2024,4.0,5.0
59594,2014,13.0,10.0
59594,2017,0.0,4.0
59594,2018,5.0,1.0
59594,2024,1.0,1.0
59597,2024,1.0,1.0
59631,2009,18.0,11.0
59631,2012,18.0,11.0
59631,2015,7.0,3.0
59631,2017,1.0,0.0
59631,2024,0.0,2.0
59641,2024,1.0,0.0
59866,2008,2.0,0.0
59866,2011,6.0,2.0
59866,2020,4.0,4.0
59866,2024,1.0,1.0
59877,2024,4.0,3.0
59896,2024,1.0,5.0
59970,2024,0.0,1.0
60164,2024,0.0,0.0
60410,2024,1.0,4.0
60444,2012,3.0,9.0
60444,2019,3.0,2.0
60444,2024,0.0,0.0
60542,2016,1.0,3.0
60542,2019,1.0,1.0
60542,2024,1.0,0.0
60543,2024,0.0,0.0
60561,2024,0.0,0.0
60577,2024,2.0,1.0
60792,2024,0.0,2.0
60793,2024,1.0,0.0
60957,2012,6.0,0.0
60957,2014,14.0,6.0
